Unnamed: 0,country_txt,iyear,gname,count
0,Afghanistan,2011,Taliban,204
1,Pakistan,2011,Taliban,11
2,Afghanistan,2011,Unknown,187
26,India,2011,Unknown,126
29,Iraq,2011,Unknown,1213
45,Nigeria,2011,Unknown,45
46,Pakistan,2011,Unknown,761
47,Philippines,2011,Unknown,73
51,Somalia,2011,Unknown,51
54,Syria,2011,Unknown,41
55,Thailand,2011,Unknown,164
62,Yemen,2011,Unknown,39
64,India,2011,Maoists,35
65,Thailand,2011,Maoists,1
66,India,2011,Communist Party of India - Maoist (CPI-Maoist),371
68,Somalia,2011,Al-Shabaab,131
69,Nigeria,2011,Boko Haram,127
