country_txt,iyear,gname,count
Afghanistan,2021,Taliban,954
Afghanistan,2021,Unknown,448
India,2021,Unknown,88
Iraq,2021,Unknown,283
Nigeria,2021,Unknown,78
Pakistan,2021,Unknown,110
Philippines,2021,Unknown,39
Somalia,2021,Unknown,23
Syria,2021,Unknown,48
Thailand,2021,Unknown,24
Yemen,2021,Unknown,33
India,2021,Maoists,73
Somalia,2021,Al-Shabaab,101
Nigeria,2021,Boko Haram,111
Iraq,2021,Islamic State of Iraq and the Levant (ISIL),191
Syria,2021,Islamic State of Iraq and the Levant (ISIL),34
Yemen,2021,Houthi extremists (Ansar Allah),230
