1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Diseases
2354803,2331978,2314816,2280474,2238561,2212407,2242353,2155338,2111071,2089162,2063739,2027667,1982423,1960712,1928879,1919251,1900683,1866011,1816876,1780584,1726638,1653055,1587529,1532431,1482088,1414744,1376971,1314269,1270857,1241573, Meningitis 
3527668,3672556,3818192,3970130,4114523,4259451,4397229,4526334,4659756,4802206,4958160,5133522,5329136,5525862,5725649,5954832,6184401,6434009,6704657,6979354,7270732,7553468,7841297,8131882,8432805,8750051,9098828,9452045,9813596,10141876, Alzheimer's disease and other dementias 
912493,935276,959441,992234,1017215,1045252,1075854,1110110,1146124,1186319,1229240,1276829,1331070,1376655,1409367,1463786,1502393,1550473,1611788,1657082,1708849,1760573,1814371,1877650,1934760,1989260,2042856,2094312,2167678,2237101, Parkinson's disease 
4189623,4034113,3869196,3718012,3578215,3927556,3653961,3517494,3362642,3208493,3068055,2924703,2786217,2269531,2140307,2045480,1969205,1888543,1826534,1758732,1752939,1712147,1631018,1595839,1558371,1528181,1497371,1466358,1419063,1385562, Nutritional deficiencies 
4373799,4465232,4443734,4461759,4417401,4444881,4489405,4590020,4620970,4560689,4483813,4640096,4728796,4879047,4885032,4777214,4784573,4772551,4729669,4651419,4616228,4412701,4078027,3793809,3669411,3566335,3337800,3179371,3193044,3250790, Malaria 
2640948,2605597,2561624,2551987,2538674,2501603,2418532,2362157,2327961,2270102,2215098,2148005,2067593,1985932,1933402,1901762,1827848,1781738,1742711,1698321,1665555,1610892,1580195,1529864,1481707,1456364,1425124,1385255,1377703,1360083, Drowning 
2158404,2217506,2345413,2491937,2546957,2555287,2481181,2447364,2470653,2515872,2565573,2570181,2628306,2546622,2511323,2485058,2432739,2386220,2402618,2399893,2371725,2351395,2367581,2353358,2339263,2356703,2343105,2373928,2383056,2355456, Interpersonal violence 
1672687,1649155,1652840,1617577,1613564,1596579,1579819,1590268,1589276,1586414,1574584,1546124,1506878,1464059,1438217,1431900,1401346,1361367,1334340,1311993,1286308,1256349,1212979,1191758,1141876,1105657,1079407,1054101,1049215,1039861, Maternal disorders 
1782266,2278159,2848338,3498326,4208727,4928790,5545375,6096781,6774501,7509765,8159039,8724429,9194740,9550151,9759485,9727635,9411384,8906713,8334064,7766347,7285531,6845368,6382446,5994515,5712065,5488747,5322250,5064869,4771438,4613902, HIV/AIDS 
343382,378610,408787,438126,469553,489713,500820,507177,523596,538814,554268,541595,528029,515030,514077,534946,539193,543334,551167,552312,559866,569553,581517,606634,639440,681838,733765,770900,801612,833990, Drug use disorders 
9930109,9987316,10105110,9897314,9760709,9659878,9551632,9586462,9576433,9547231,9516787,9331317,9142717,8928320,8618517,8476911,8288419,8125827,8002768,7762547,7534518,7348677,7277806,7220002,7144604,6984358,6884830,6790435,6644796,6501720, Tuberculosis 
73317489,74181382,75357893,77444663,78663693,79194696,79615260,80300365,80977919,82431609,83706310,84975413,86760916,87905806,87947887,89340121,89231086,89910481,91545798,92395649,94043681,95227215,96441492,97867969,99163807,101314000,103119510,104792518,107351047,109968781, Cardiovascular diseases 
18798536,18595921,18454251,18277611,18044634,17825650,17496175,17250133,16976993,16691511,16361950,15973483,15732313,15491527,15203468,15107179,14923656,14767701,14700724,14524722,14391313,14310761,14318861,14397233,14375797,14398268,14310670,14167454,14194124,14249200, Lower respiratory infections 
16671016,16488673,16331945,16170105,15996880,15849378,15648238,15499499,15353583,15183858,15013802,14832323,14709953,14579703,14432630,14263884,14060871,13839642,13642551,13405689,13138519,12879629,12633792,12405817,12055723,11756953,11277283,10803702,10404730,10065370, Neonatal disorders 
703105,738879,793026,865434,924334,940237,937407,931810,937364,963368,996292,1025083,1052579,1074485,1084266,1092090,1069572,1048152,1035233,1007551,994040,977295,966277,963597,966836,975355,983530,986292,1002890,1017034, Alcohol use disorders 
4454415,4534944,4636346,4761812,4910835,4953819,4914585,4929454,4974952,5038830,5026094,4915541,4858346,4879357,4906310,4947871,4876509,4807665,4779646,4712726,4703782,4659531,4596260,4525456,4457410,4438763,4437460,4438242,4504680,4523263, Self-harm 
257062,789808,67936,122408,70990,114125,85340,95763,256608,400177,49769,171144,49649,181717,1399239,458696,111927,86401,1270866,60928,1225206,204597,47768,144534,41687,81224,48015,69812,64000,33861, Exposure to forces of nature 
15926583,15964924,15804184,15379805,15025205,14650887,14324100,14130797,13945882,13688044,13383612,13046438,12689171,12311131,11891798,11680386,11594310,11422934,11258763,10875381,10614240,10485038,10112035,9854131,9499291,9241698,9020536,8984105,8701468,8467166, Diarrheal diseases 
324175,332814,352194,393281,425408,427027,396210,374083,380852,371983,383896,391505,410230,423565,393645,400980,378793,350083,338265,321443,345003,303077,301915,290871,285918,302263,278476,271233,271378,280146, Environmental heat and cold exposure 
35717998,36415986,37180263,38216554,38987016,39635380,40158841,40739167,41465256,42402686,43258908,43935042,44775799,45580845,46255366,47150294,47561916,48335061,49397495,50239376,51191496,52027947,52881601,53742315,54700361,55964787,57163611,58305297,59889234,61593975, Neoplasms 
592702,437342,325126,322144,2845201,348343,449324,503987,551392,723402,610508,353637,336406,359364,358202,302329,374590,360328,323536,358027,276947,318730,566081,592455,946603,840935,816527,656072,522474,316151, Conflict and terrorism 
3956690,4065737,4195399,4346646,4479747,4607893,4755466,4924561,5080560,5227584,5379896,5549905,5759773,5932061,6026687,6215841,6325888,6447368,6617822,6729966,6858363,7041367,7262425,7495709,7739911,8002239,8269421,8512177,8785584,9065482, Diabetes mellitus 
3545870,3619217,3714473,3815196,3921141,4030872,4155206,4315184,4484043,4646227,4824220,4993740,5181765,5349481,5470749,5674006,5826056,6000006,6214726,6383184,6583515,6798869,6998058,7225512,7420080,7655679,7877801,8029553,8243984,8473060, Chronic kidney disease 
498584,497278,500065,509000,513618,509634,500509,491526,487725,491325,499820,502947,506624,511073,515914,519820,506942,498993,500678,496584,495244,486595,477685,471896,463000,456866,450734,442020,438105,434114, Poisonings 
3606265,3465617,3320967,3195381,3082274,3454189,3203460,3083574,2954521,2829761,2709591,2584217,2468197,1975593,1864776,1778776,1705936,1630616,1570934,1511193,1508479,1468869,1388762,1356848,1322087,1295103,1266928,1237449,1192948,1162346, Protein-energy malnutrition 
6498672,6518618,6559014,6620787,6708701,6754478,6747273,6788281,6834069,6931716,7028020,7092908,7161506,7219947,7273653,7332697,7315864,7342311,7399302,7377302,7354414,7282659,7204644,7065098,6953172,6873186,6825179,6793121,6839465,6847043, Road injuries 
18430814,18764819,19115256,19467246,19645019,19740466,19918468,20160568,20286179,20401834,20581035,20679344,20829475,20841542,20661942,20763980,20656972,20699617,20964518,20895664,20969364,21154906,21278719,21598676,21839783,22081572,22375949,22699137,23248429,23767367, Chronic respiratory diseases 
5935866,6019111,6109474,6253056,6375202,6458879,6517384,6596548,6669447,6765897,6871837,7000652,7157069,7294723,7371906,7530472,7563821,7629046,7737528,7734814,7790003,7834648,7861611,7887169,7906970,8027337,8135271,8256557,8380839,8515469, Cirrhosis and other chronic liver diseases 
10964273,11098854,11247227,11456553,11616550,11709888,11771421,11885634,11981938,12119916,12263784,12428766,12640270,12813533,12885048,13110068,13160330,13252828,13423360,13419470,13524091,13629495,13702861,13816544,13899530,14132866,14334905,14553623,14774301,15016576, Digestive diseases 
707552,712146,717060,731442,743224,735533,725165,721254,712299,719003,722791,721600,715981,718441,705181,708609,691947,682309,674235,662196,656999,647580,637310,636455,625788,625483,623602,619625,628643,631883," Fire, heat, and hot substances "
938328,933073,923879,913564,899158,885961,864217,856030,843094,828921,812153,789322,759740,732080,719950,722287,702687,679143,661221,634607,616950,599709,588522,554730,518567,494395,470447,457026,448373,438401, Acute hepatitis 
