 Meningitis , Alzheimer's disease and other dementias , Parkinson's disease , Nutritional deficiencies , Malaria , Drowning , Interpersonal violence , Maternal disorders , HIV/AIDS , Drug use disorders , Tuberculosis , Cardiovascular diseases , Lower respiratory infections , Neonatal disorders , Alcohol use disorders , Self-harm , Exposure to forces of nature , Diarrheal diseases , Environmental heat and cold exposure , Neoplasms , Conflict and terrorism , Diabetes mellitus , Chronic kidney disease , Poisonings , Protein-energy malnutrition , Road injuries , Chronic respiratory diseases , Cirrhosis and other chronic liver diseases , Digestive diseases ," Fire, heat, and hot substances ", Acute hepatitis ,Year
2354803,3527668,912493,4189623,4373799,2640948,2158404,1672687,1782266,343382,9930109,73317489,18798536,16671016,703105,4454415,257062,15926583,324175,35717998,592702,3956690,3545870,498584,3606265,6498672,18430814,5935866,10964273,707552,938328,1990
2331978,3672556,935276,4034113,4465232,2605597,2217506,1649155,2278159,378610,9987316,74181382,18595921,16488673,738879,4534944,789808,15964924,332814,36415986,437342,4065737,3619217,497278,3465617,6518618,18764819,6019111,11098854,712146,933073,1991
2314816,3818192,959441,3869196,4443734,2561624,2345413,1652840,2848338,408787,10105110,75357893,18454251,16331945,793026,4636346,67936,15804184,352194,37180263,325126,4195399,3714473,500065,3320967,6559014,19115256,6109474,11247227,717060,923879,1992
2280474,3970130,992234,3718012,4461759,2551987,2491937,1617577,3498326,438126,9897314,77444663,18277611,16170105,865434,4761812,122408,15379805,393281,38216554,322144,4346646,3815196,509000,3195381,6620787,19467246,6253056,11456553,731442,913564,1993
2238561,4114523,1017215,3578215,4417401,2538674,2546957,1613564,4208727,469553,9760709,78663693,18044634,15996880,924334,4910835,70990,15025205,425408,38987016,2845201,4479747,3921141,513618,3082274,6708701,19645019,6375202,11616550,743224,899158,1994
2212407,4259451,1045252,3927556,4444881,2501603,2555287,1596579,4928790,489713,9659878,79194696,17825650,15849378,940237,4953819,114125,14650887,427027,39635380,348343,4607893,4030872,509634,3454189,6754478,19740466,6458879,11709888,735533,885961,1995
2242353,4397229,1075854,3653961,4489405,2418532,2481181,1579819,5545375,500820,9551632,79615260,17496175,15648238,937407,4914585,85340,14324100,396210,40158841,449324,4755466,4155206,500509,3203460,6747273,19918468,6517384,11771421,725165,864217,1996
2155338,4526334,1110110,3517494,4590020,2362157,2447364,1590268,6096781,507177,9586462,80300365,17250133,15499499,931810,4929454,95763,14130797,374083,40739167,503987,4924561,4315184,491526,3083574,6788281,20160568,6596548,11885634,721254,856030,1997
2111071,4659756,1146124,3362642,4620970,2327961,2470653,1589276,6774501,523596,9576433,80977919,16976993,15353583,937364,4974952,256608,13945882,380852,41465256,551392,5080560,4484043,487725,2954521,6834069,20286179,6669447,11981938,712299,843094,1998
2089162,4802206,1186319,3208493,4560689,2270102,2515872,1586414,7509765,538814,9547231,82431609,16691511,15183858,963368,5038830,400177,13688044,371983,42402686,723402,5227584,4646227,491325,2829761,6931716,20401834,6765897,12119916,719003,828921,1999
